sample_id,mev_sat
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2987227.5757388803
8,15583104.291547103
9,0.0
10,0.0
11,0.0
12,0.0
13,3325680.834349006
14,0.0
15,0.0
16,0.0
17,542668.3991695099
18,0.0
19,486341.83688554453
20,22719749.93160479
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,16673996.783755304
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,13074102.951277984
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,4983027.381105242
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,677614.5775063426
67,0.0
68,575834.7874652735
69,0.0
70,244912.28167031932
71,0.0
72,9228860.199930148
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,9884076.711403642
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,78024.0519510069
99,0.0
100,0.0
101,0.0
102,0.0
103,23428531.106612593
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,473377.00735315395
110,0.0
111,126223.47340180245
112,0.0
113,0.0
114,20864036.809240043
115,0.0
116,2643049.104974114
117,0.0
118,1533517.1807982298
119,0.0
120,0.0
121,0.0
122,8589169.177251024
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,551937.7211758018
141,0.0
142,0.0
143,31250000.0
144,26793501.38058614
145,0.0
146,0.0
147,6961628.720737066
148,0.0
149,3635716.914233496
150,0.0
151,68007.27413244439
152,0.0
153,0.0
154,0.0
155,8262290.125180686
156,31250000.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,285856.8712622111
164,464185.88439927116
165,6070981.311595974
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,2030465.158225514
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,4109863.240364578
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,4321450.354279465
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,870501.7569977364
210,31250000.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,3774808.6147427987
220,0.0
221,8059078.65140852
222,0.0
223,0.0
224,0.0
225,891489.8799003259
226,0.0
227,0.0
228,392090.69342121214
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,693810.9809557791
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,8933729.634548878
252,0.0
253,0.0
254,4942967.320789706
255,0.0
256,0.0
257,0.0
258,5034026.467415541
259,0.0
260,0.0
261,0.0
262,0.0
263,8227950.908995996
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,21975108.780442458
271,1390870.9433644873
272,0.0
273,65225.680000236964
274,0.0
275,222152.7700896015
276,9212893.19102708
277,0.0
278,0.0
279,3272853.1313714897
280,0.0
281,54241.95278522067
282,0.0
283,0.0
284,0.0
285,0.0
286,5779343.51169698
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,1759569.6500061564
293,0.0
294,0.0
295,0.0
296,0.0
297,2529349.5525828125
298,10967084.579771519
299,445316.13083982276
300,7230155.025564159
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,54165.00158280893
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,898011.8482051619
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,4386956.672501349
360,0.0
361,25652832.93602795
362,0.0
363,0.0
364,31250000.0
365,0.0
366,0.0
367,0.0
368,3595657.680025419
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,14676116.908683782
378,0.0
379,0.0
380,31250000.0
381,0.0
382,31250000.0
383,0.0
384,4621731.978133108
385,409233.12895755697
386,10360440.92941554
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,2577244.561265268
394,0.0
395,31250000.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,14796629.036435291
402,0.0
403,1856036.1906111864
404,4805901.474876785
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,31250000.0
421,1145120.346696025
422,0.0
423,0.0
424,0.0
425,0.0
426,31250000.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,11359946.423091799
442,13675084.974536939
443,0.0
444,0.0
445,0.0
446,30490605.627712365
447,4074896.8291734965
448,480246.78669329325
449,6029115.531884218
450,0.0
451,395463.2360068015
452,0.0
453,0.0
454,641926.2072144812
455,0.0
456,0.0
457,0.0
458,0.0
459,2787489.8558918685
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,68526.17232063747
469,0.0
470,0.0
471,31250000.0
472,0.0
473,31250000.0
474,1048231.6629990769
475,0.0
476,0.0
477,16930838.28826894
478,695039.783586059
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,31250000.0
488,5933052.888886772
489,0.0
490,0.0
491,0.0
492,4564195.677188297
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,148522.46157671645
506,31250000.0
